Location,Dark Red Kidney Beans,Ground Beef x 2,1/2 gallon milk,Cereal,Lunch meat,Bread,American cheese,Ramen pack,Poptarts
"California, PA",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Kutztown, PA",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Millersville, PA",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"State, College, PA",1.59,6.49,2.49,5.89,3.79,3.29,4.29,2.19,3.99
"Clemson, SC",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Murfreesboro, TN",1.29,6.49,2.19,5.29,3.49,3.29,4.29,1.99,3.99
"College, Station, TX",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Denton, TX",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Prairie, View, TX",1.29,6.49,1.29,5.29,3.49,3.29,4.29,1.99,3.99
"San, Marcos, TX",1.29,6.49,1.99,5.79,3.79,3.29,4.59,2.19,3.99
"Blacksburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Charlottesville, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Fredericksburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Radford, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Williamsburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Fairmont, WV",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Morgantown, WV",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Madison, WI",1.59,6.49,1.69,5.79,3.79,3.29,4.59,2.19,3.99
